company	reviewer	date	rating	review
cie_A	Sreenath V	2018-09-04T22:00:00Z	4	Excellent features
cie_A	Neron Oliver	2018-09-04T22:00:00Z	5	Nice search!
cie_A	Ozzie	2018-09-02T22:00:00Z	1	I had placed an order via the google store and was told that i had 2 verify my identity in order to prevent fraud and my order would be placed. I emailed on many occasions and got no response. When calling the customer service they do not know what they are talking about they keep putting you on hold and say they are chatting with their department via chat mail. How unprofessional? Basically they did not send my items they did not deal with my queries to be honest it seams like a scam and fraud to get peoples personal details and identity. DO NOT USE GOOGLE STORE IT IS NOT SAFE
cie_A	Wainer Rinkler	2018-09-02T22:00:00Z	5	It's possible to find many websites
cie_A	Patrick J. Lee	2018-08-30T22:00:00Z	2	They are recording our voice to use it against us.
cie_A	john campbell	2018-08-29T22:00:00Z	1	This social media company is working to change the world into a communist socialist hell hole. Google supports christian oppression, common core, nations with out borders and ms13. They are a bad dishonest company
cie_A	Conor Dunne	2018-08-27T22:00:00Z	5	I have used a number of different search engines in the past: Microsoft Edge, Bing etc.Out of the ones I have used, Google Chrome is the best. It’s fast, secure, easy to use and the layout is simple. Sure, there are some ads but not too many and I’m certain that Chrome has some of the best security around. Gmail is great and you can sign in to accounts on most websites with it. Best of all, it’s free. I would recommend Google Chrome and Gmail to anyone who has a computer and needs a search engine and an email address.
cie_A	Kate rolly	2018-08-25T22:00:00Z	5	This is amazing production
cie_A	Seth	2018-08-23T22:00:00Z	2	"Don't order G-Suite trial for your business!!Very dodgy business practice by Google, who are clearly not half as reputable as we had thought. I agreed to their 1 month free trial of G-suite, and after the month decided not to go with a subscription so asked to cancel.  But hidden in the small print that nobody is ever going to see without an hour of free time and a magnifying glass is a paragraph that says you are waiving all rights to free Gmail from that point on and must pay or have all your google account and domains deleted, as well as inbox, photos etc.Totally shocking!  What a deception from Google to force people to pay them every month for what is free to everyone else who didn't go for the ""free"" trial."
cie_A	Draymond Duncan Dillinger	2018-08-18T22:00:00Z	4	Google is excellent in search optimization. Many of the upcoming startups need to borrow from the book of Larry and Sergey on how to build a business that lasts.
cie_A	Helen White	2018-08-14T22:00:00Z	3	Google themselves are ok but they will keep trying to push Chrome on you and places like TalkTalkTV make matters worse by no longer operating via Internet Explorer so you have to  use Chrome or Firefox.  I don't find Chrome any faster (it is slower actually) and five times in the last week it crashed on me while I was browsing in Windows 10.  thank god for Microsoft Edge - much better
cie_A	SOMASUNDARAM T	2018-08-09T22:00:00Z	1	support from google campaign and support specialists are lousy. Its high time that we build competition to google and make them understand the meaning of customer support
cie_A	Alex Miller	2018-08-08T22:00:00Z	1	If you have a gmail account look up Google Account and you can see that they track your every movement day-to-day, this is a horrible privacy violation and doesn't make me feel safe in the america i grew up in.
cie_A	De Licanis	2018-08-06T22:00:00Z	1	Privacy abuse, censorship, too many ads. Duckduckgo.com or startpage.com delivers better results (less links to shops) while respecting your privacy.
cie_A	Abraham Thompson	2018-08-05T22:00:00Z	2	Too many reminders about subscriptions cancelled months ago
cie_A	Harlee Desbiens	2018-08-01T22:00:00Z	1	I was charged for a subscription I cancelled over a year ago. My bank told me the money had already been taken out of my account and was no longer pending so they couldnt do anything except put through a case that would take months. I called google play who kept deflecting the issue and asked me to speak with my bank over and over. They seen charges from over a year ago, but claimed they couldnt see any recent charges. I spoke with the supervisor who was just as useless and not providing me with any solutions. Neither of them even had the days of the charges from over a year ago correct. I am so disappointed that I am going to switch everything I own over to apple. This company has the worst customer service I have ever seen, I have 10 years of call center experience with 5 years being in a supervisor role.... Absolutely disgraceful for a big company.
cie_A	David N. Yaphet	2018-08-01T22:00:00Z	5	RECOGNITION; Google is King. Nir Eyal should have written a full book separately dedicated to fully illustrate how Google changed human behavior for ever
cie_A	Gary shaw	2018-07-30T22:00:00Z	4	You can't say fairer than this really.
cie_A	chris clarkson	2018-07-30T22:00:00Z	1	My product never arrived, I contacted google support and was assured I would be put through to a specialist to deal with my support case and grant a refund or replacement. No specialist ever contacted me, I sent two chasing emails responses in reply to the original support contact email address to no reply, opened another support case referencing the previous one AND sent a Linkedin message to the EMEA customer support manager. No refund, no replacement, no further contact of any kind has been made. Frankly I expected better and unless there is some remedy I cannot recommend buying a google product to anyone.
cie_A	adam smith	2018-07-29T22:00:00Z	4	Best in class
cie_A	Gordon	2018-07-27T22:00:00Z	1	Samsung Cell Phones.Bought a Samsung Galaxy S8 Active – Over $800.00 through AT&T. So we have Samsung-Google and AT&T.There are some features I don’t really like, but that was not my problem.My problem began a few months after purchase.The Google that came with the phone was just fine.  Then someone “updated” my phone with Google Assistance.  Now I have two software’s  competing with each other.  This was a extremely frustrating situation, even having me considering changing phone provider and going with an IPhone.Then the day came that my Bluetooth wouldn’t (couldn’t) pair with the phone.  The Bluetooth ID had been deleted from the phone.Very bad experience with the AT&T store in Lakewood Wa to I went to the AT&T store in University Place.  Great young man – He deleted the Google system that had been forced on my – activated my BlueTooth – solved the problems that Google had been responsible for.Same thing that the EU just fined Google 5 Billion for forcing phone mfg to install.  Does anyone know of a Class Action Suit in the United States?
cie_A	karen lankester	2018-07-19T22:00:00Z	1	"Rubbish -how can you resolve an issue when you are not contactable except through this review platform? I gave a truthful but negative review of SSE for being dishonest on its quotes system on a systemic basis. I spoke to SSE & they agreed this was true & that I had provided actual not estimated readings but they still quoted my usage as 30% in excess of the actual annual usage. Since then, I have had google error messages interrupting & preventing me using google, whilst my ""identity "" is being checked & my review has been deleted from the SSE website. Hum somebody was unhappy then - I don't care if it challenges large scale dishonesty : my DD's were about to double - for no good reason. How many others are getting ripped off - that should the concern of sites like these - not hounding reviewers. SSE have verified what I have said is true you need to stop preventing me from using google."
cie_A	Md Zubaer Ahammed	2018-07-18T22:00:00Z	5	Google has become an inseparable part of my life. Google Search, Gmail, Google Drive, Google Contacts, etc. are my best companion.
cie_A	Martin	2018-07-17T22:00:00Z	5	Best search engine
cie_A	Kurt Rencel Osana	2018-07-16T22:00:00Z	3	"The ""Titan"" of search engine. However, privacy is the biggest concern."
cie_A	Danny Moe	2018-07-12T22:00:00Z	4	Great search engine, but I wish searches were more relevant.I was searching to lease a car and all I was getting his car rental places
